2025-05-21 23:07:55,710 INFO    MainThread:5728 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_setup.py:_flush():70] Configure stats pid to 5728
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_setup.py:_flush():70] Loading settings from /root/.config/wandb/settings
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_setup.py:_flush():70] Loading settings from /workspace/SDProc_SciVQA/vllm-modular/wandb/settings
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /workspace/SDProc_SciVQA/vllm-modular/wandb/run-20250521_230755-n638ideu/logs/debug.log
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /workspace/SDProc_SciVQA/vllm-modular/wandb/run-20250521_230755-n638ideu/logs/debug-internal.log
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_init.py:init():852] calling init triggers
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'model': 'OpenGVLab/InternVL3-8B', 'dataset': 'validation', 'batch_size': 8, 'max_tokens': 300, 'temperature': 0.0, 'start_idx': 0, 'end_idx': None, 'data_dir': 'scivqa_data', '_wandb': {}}
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_init.py:init():893] starting backend
2025-05-21 23:07:55,711 INFO    MainThread:5728 [wandb_init.py:init():897] sending inform_init request
2025-05-21 23:07:55,718 INFO    MainThread:5728 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-21 23:07:55,718 INFO    MainThread:5728 [wandb_init.py:init():907] backend started and connected
2025-05-21 23:07:55,720 INFO    MainThread:5728 [wandb_init.py:init():1005] updated telemetry
2025-05-21 23:07:55,729 INFO    MainThread:5728 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-21 23:07:56,110 INFO    MainThread:5728 [wandb_init.py:init():1104] starting run threads in backend
2025-05-21 23:07:56,256 INFO    MainThread:5728 [wandb_run.py:_console_start():2573] atexit reg
2025-05-21 23:07:56,256 INFO    MainThread:5728 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-21 23:07:56,256 INFO    MainThread:5728 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-21 23:07:56,257 INFO    MainThread:5728 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-21 23:07:56,259 INFO    MainThread:5728 [wandb_init.py:init():1150] run started, returning control to user process
