2025-05-15 02:32:39,799 INFO    MainThread:3299 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_setup.py:_flush():70] Configure stats pid to 3299
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_setup.py:_flush():70] Loading settings from /root/.config/wandb/settings
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_setup.py:_flush():70] Loading settings from /workspace/SDProc_SciVQA/vllm-modular/wandb/settings
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /workspace/SDProc_SciVQA/vllm-modular/wandb/run-20250515_023239-wjtv7zkr/logs/debug.log
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /workspace/SDProc_SciVQA/vllm-modular/wandb/run-20250515_023239-wjtv7zkr/logs/debug-internal.log
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_init.py:init():852] calling init triggers
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'model': 'Qwen/Qwen2.5-VL-7B-Instruct', 'dataset': 'validation', 'batch_size': 8, 'max_tokens': 300, 'temperature': 0.0, 'start_idx': 0, 'end_idx': 8, 'data_dir': 'scivqa_data', '_wandb': {}}
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_init.py:init():893] starting backend
2025-05-15 02:32:39,800 INFO    MainThread:3299 [wandb_init.py:init():897] sending inform_init request
2025-05-15 02:32:39,807 INFO    MainThread:3299 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-15 02:32:39,807 INFO    MainThread:3299 [wandb_init.py:init():907] backend started and connected
2025-05-15 02:32:39,809 INFO    MainThread:3299 [wandb_init.py:init():1005] updated telemetry
2025-05-15 02:32:39,817 INFO    MainThread:3299 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-15 02:32:40,357 INFO    MainThread:3299 [wandb_init.py:init():1104] starting run threads in backend
2025-05-15 02:32:40,494 INFO    MainThread:3299 [wandb_run.py:_console_start():2573] atexit reg
2025-05-15 02:32:40,494 INFO    MainThread:3299 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-15 02:32:40,495 INFO    MainThread:3299 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-15 02:32:40,495 INFO    MainThread:3299 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-15 02:32:40,496 INFO    MainThread:3299 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-15 02:33:32,223 INFO    MainThread:3299 [wandb_run.py:_finish():2321] finishing run nagaharshitamarupaka-usc/sci-vqa-bespoke-grpo-rethink/wjtv7zkr
2025-05-15 02:33:32,224 INFO    MainThread:3299 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 0
2025-05-15 02:33:32,224 INFO    MainThread:3299 [wandb_run.py:_restore():2520] restore
2025-05-15 02:33:32,224 INFO    MainThread:3299 [wandb_run.py:_restore():2526] restore done
2025-05-15 02:36:31,671 INFO    MainThread:3299 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-05-15 02:36:31,672 INFO    MainThread:3299 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-05-15 02:36:31,672 INFO    MainThread:3299 [wandb_run.py:_footer_sync_info():4149] logging synced files
